common_voice_yue_40641358 可惜同嘅人手快閂咗門
common_voice_yue_40641361 買碟睇演唱會？
common_voice_yue_40641362 唔可以一嚟就鹹濕，嚇親人
common_voice_yue_40641363 我全家都唔用任何外送網購服務嘅
common_voice_yue_40641365 就噉幾年過去
common_voice_yue_40641367 我仲係同有啲教廣東話嘅人講九聲六調
common_voice_yue_40641368 可能會欣賞下
common_voice_yue_40641369 想直接喺枱頭瞓，喺廁所瞓好辛苦
common_voice_yue_40641371 對你好失望
common_voice_yue_40641381 少少想喊
common_voice_yue_40641382 人哋拍嗰時六十路咋
common_voice_yue_40641383 識到我真係辛苦你
common_voice_yue_40641384 吓？佢喺咩地方買飛？
common_voice_yue_40641385 細個屋企唔俾學外語
common_voice_yue_40641527 姐姐撐同志
common_voice_yue_40641531 你講得好有道理，我唔係唔夠係直頭零行動
common_voice_yue_40641533 中大都唔係度度有啦，啲職員教授嘅意識
common_voice_yue_40641534 你好多女要溝使費大？
common_voice_yue_40641537 本人奉行護膚極簡主義，要做激光脫毛先會考慮去美容院，廢事破產
common_voice_yue_40641539 香港點解唔緊隨黨嘅步伐？
common_voice_yue_40641540 講真男人賣腳圖實好賣過女人
common_voice_yue_40641541 可能佢哋真係淨係飲飲食食呢
common_voice_yue_40641542 我六七年前就聽過
common_voice_yue_40641543 有冇例句俾嚟聽聽
common_voice_yue_40641544 結果都只係一萬步
common_voice_yue_40641557 靜得耐就咩都冇所謂
common_voice_yue_40641558 想逼五歲小朋友都要掃針卡，但係小朋友冇電話喎噉點啊？
common_voice_yue_40641559 點解你唔係平時噉無視或者嫌棄
common_voice_yue_40641561 其實粵語人多數都唔會好反感正體字
common_voice_yue_40641563 其實咁老隨時壽終正寢都唔出奇
common_voice_yue_40641564 適時召喚失蹤人士
common_voice_yue_40641567 但首先要返香港唔使再隔離先
common_voice_yue_40641568 都幾麻煩
common_voice_yue_40641569 原來歐美有全裸嘅戀愛真人騷
common_voice_yue_40641570 等睇今晚掛八號然後聽朝落波開心返工
common_voice_yue_40641571 再要分係阿爸嗰邊啲親戚，定阿媽嗰邊啲親戚，阿爸嘅堂同表都好似有得分
common_voice_yue_40641572 粵知一二可唔可以講返多啲粵語
common_voice_yue_40641573 呢度得我同啲樹，你同啲樹講嘢呀？
common_voice_yue_40641575 我已經落咗幾次，靚仔喺我側邊平排行而我內心只有淆底
common_voice_yue_40641576 我真係會
common_voice_yue_40641577 突然之間一號風球？
common_voice_yue_40641579 叫佢哋中國人咪得囉
common_voice_yue_40641582 俾着我自己去開會，有個剩係覆電郵公事關係嘅人無端端想留聯絡嘅話，都會心諗做乜要應你啊
common_voice_yue_40641583 對你做咩嚟？
common_voice_yue_40641584 就咁開網頁版就有，唔使登入
common_voice_yue_40641585 有冇去應援打卡嗰啲
common_voice_yue_40641586 好細個嗰時就會意外睇到聽到父母親熱嘅
common_voice_yue_40641587 原本係咪好鍾意呢份工
common_voice_yue_40641588 其實你係唔係唔鍾意我，？
common_voice_yue_40641589 食咗生冷嘢
common_voice_yue_40641590 噉你有無郁？
common_voice_yue_40641591 參與嘅嗰啲基本上都係今鋪畀鐵拳揼親嘅人
common_voice_yue_40641592 細個有聽過啩？
common_voice_yue_40641593 有團體飛價
common_voice_yue_40641594 又濕又熱都好難頂
common_voice_yue_40641595 包親手製會員卡同親筆簽名生日卡
common_voice_yue_40641596 阿姐有深刻嘅體會
common_voice_yue_40641597 同埋一定程度嘅社會化
common_voice_yue_40641598 講真，紅底嘅原因係小學常識有教，我幾肯定我小學有聽過
common_voice_yue_40641599 我都係手殘星人
common_voice_yue_40641600 咩都冇發生過
common_voice_yue_40641601 唔記得踢人
common_voice_yue_40641603 不過對於而家啲後生仔來講唔算好粗
common_voice_yue_40641604 我諗緊究竟係你個頻道嘅問題呢，定係真係粵語遊戲嘢冇人睇
common_voice_yue_40641605 我兩個譯法都見過
common_voice_yue_40641606 我嘅目標係做港豬
common_voice_yue_40641608 語言科近年新生比例係一半半
common_voice_yue_40641609 廿幾歲香港粵語嘅唔要
common_voice_yue_40641610 噉因為唔想叫佢國語或者普語，所以嗌官話囉
common_voice_yue_40641613 可以將我嘅感情傳達到俾你就太好喇
common_voice_yue_40641614 然後尋日俾聾人讚我手語好
common_voice_yue_40641615 懶係關心佢噉
common_voice_yue_40641616 咁勤力日日返工都唔知有乜謂
common_voice_yue_40641618 唔係特別恨有棍，係咪可以裝拆先？
common_voice_yue_40641619 佢又好老實話我聽，以前真係純種港豬嚟，生活得好安逸，完全唔理社會政制時事
common_voice_yue_40641620 沒有醜女人，只有懶女人
common_voice_yue_40653356 溫柔又親切
common_voice_yue_40653357 就唯有睇下台灣人清醒得幾耐
common_voice_yue_40653360 可能會多
common_voice_yue_40653361 啲風大到頭都甩
common_voice_yue_40653362 佢搵緊方法玩殘我咋嘛
common_voice_yue_40653363 人生又重燃希望
common_voice_yue_40653364 啲同學唔係好想繼續
common_voice_yue_40653365 各位，你哋搵工會唔會約咗面試唔出現唔交代？
common_voice_yue_40653366 日日屙屎係咪都係肛門括約肌奴性重
common_voice_yue_40653367 咩女都得？單純平衡荷爾蒙？
common_voice_yue_40653369 揀好名未？
common_voice_yue_40653370 你又周街勾搭
common_voice_yue_40653371 勁慘處理噪音問題，都係做返啱嘅事啫
common_voice_yue_40653372 真係夠晒吹水，使唔使每日啷口刷牙沖涼瞓覺都滙報下，噉樣創造多啲語料
common_voice_yue_40653374 用咩窿睇對象再斟酌
common_voice_yue_40653376 但係呢個係有可能㗎
common_voice_yue_40653377 做地盤清潔保安之類咪日日郁
common_voice_yue_40653378 咪好囉，喺你溫柔嘅歌聲之下進入夢鄉
